명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,이용시간,쉬는날,이용요금,할인정보,관람소요시간,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
서울대학교병원 의학박물관,3080,,,서울특별시 종로구 대학로 101(연건동),37.5795614331,126.9989687866,"서울대학교병원 의학박물관은 근대 의학 도입 이후 각종 문서 및 의료기기 1000여 점과 한국 근대의학 사료 8,000여 권을 소장하고 있는 의학 전문 박물관이다.
1992년 개관한 의학박물관은 1999년 상설전시관으로 탈바꿈하였고, 2001년에 체험전시실을 개관한 이후 의학 전문 박물관을 자리매김하고 있다. 2007년에는 대한의원 설립 100주년을 맞아 사적으로 지정된 대한의원 본관(시계탑 건물) 2층 전체를 새롭게 단장하였다. 
한국의 근대의학 발달과 의료기기의 변천사, 그리고 서울대학교병원의 변천을 한눈에 볼 수 있는 역사적 증거물을 전시하고 있으며, 유물의 수집·전시·보존·교육 및 관련 정보 제공을 포괄적이고 체계적으로 담당하는 문화 공간이다.",,"건물면적 1,686,87㎡ <br />
박물관 면적 약 380㎡",,"월요일~금요일 09:00~18:00<br />
토요일 10:00~15:00",일요일 / 공휴일 / 5월 1일 / 10월 15일,무료,,,있음,유료,없음,불가,없음,"한국어 안내서비스:단체관람객의 경우, 전시안내 가능
예약안내:단체 방문시 사전예약 (02-2072-2636)
"
난계국악박물관,29106,,,충청북도 영동군 심천면 국악로 9,36.2101762428,127.7049321798,"난계국악박물관은 자연과 전통이 어우러지고 한국의 소리가 살아있는 국악의 본향 영동에 위치해 있으며 2000년 개관한 국악전문박물관이다. 국내에서 유일하게 국악 전시를 관람하고 체험할 수 있게 한 박물관으로 국악의 위상을 알리고 국악의 역사와 체계적인 지식, 정보를 학습할 수 있는 교육의 장이다.
난계 박연은 고구려의 왕산악, 신라의 우륵과 함께 우리나라 3대 악성으로 손꼽힌다. 조선 초기의 문신이자 음악가로 충북 영동에서 태어나 타계했다. 박연은 악보와 악기를 정리한 악서를 편찬하고 대고와 석경 등 아악기를 제작했다. 또, 궁중악을 완성하고 악기를 조율하는 편경을 만드는 등 국악을 발전시키고 완성한 국악의 아버지다.  
난계국악박물관 영상실과 난계실에서는 난계의 삶과 업적을 살펴볼 수 있다. 국악실에는 대금, 나발 등 관악기와 가야금, 해금, 비파 등 현악기 그리고 징, 북, 편종 등 타악기가 종류대로 전시되어 있다. 80여 점이 넘는 다양한 국악기를 비롯해 세계의 민속악기가 전시되어 있어 각 나라의 개성 있는 악기들을 비교하는 재미도 있다.
영동에서는 난계 박연 선생의 위업을 기리고 국악 발전을 이끌기 위해 해마다 난계국악축제를 열고 있으며, 선생의 국악적 맥을 이은 난계국악박물관, 난계국악기제작촌, 영동국악체험촌을 건립하여 우리 음악을 널리 알리고 있다.",,"부지면적 - 710평, 건물- 건물 1동 230평",,09:00~18:00,매주 월요일 / 1월 1일 / 설·추석 연휴 / 법정 공휴일 다음날 <br>※ 난계국악축제 기간은 무휴,"[개인] 어른 2,000원 / 청소년 / 군인 / 어린이 1,500원 <br>[단체] 어른 1,500원 / 청소년 / 군인 / 어린이 1,000원 <br>※ 단체는 30인 이상",,1시간,가능,,없음,불가,없음,"외국어 안내서비스:영상물 상영(영어, 일본어)
"
지질박물관,34132,,,대전광역시 유성구 과학로 124,36.3799284811,127.360524974,"국내 최초의 종합적인 지질전문박물관으로 2001년에 개관하였다. 1918년 ‘지질조사소’로 출발한 한국지질자원 연구원은 현재에 이르기까지 지속적인 연구 사업의 성과로 각종 지질 표본들을 축적해 왔다. 그러던 중, 대전 엑스포를 계기로 연구원 강당동 내에 소규모의 ‘지질표본관’을 설립하여 일반인들에게 공개하게 되었는데, 그 후 늘어나는 관람객의 요구와 체계적이고 종합적인 전문 박물관 건립의 필요성이 대두됨에 따라 개관하게 되었다. 지질박물관은 광물, 암석, 화석과 같은 지질 표본의 전시, 영상물의 상영, 강연회 또는 체험학습의 장을 마련함으로써 지질과학의 대중화에 보탬이 되기 위해 노력하고 있으며, 지질시료동의 운영으로 전문가를 위한 표본 및 시추코어의 보관 시스템을 구축하고 있다. 지질박물관 외관은 스테고사우루스 골판 모양에서 착안하여 디자인되었다. 

* 지질박물관의 소장품 *
지질박물관에는 암석과 화석, 광물 등의 5,000여 점의 소장품이 있다. 광물 2,232점, 암석 291점, 화석 1,231점으로 총 3,745점의 지질 표본을 보유하고 있다. 또한, 영상물의 상영, 강연회 또는 체험학습의 장을 마련하고 있다. 지질과학의 대중화에 힘쓰고 있으며 지질시료동의 운영으로 전문가를 위한 표본 및 시추코어의 보관 시스템도 구축하고 있다.",,"* 건축면적 - 1086.24㎡<br />
* 건물연면적 - 2480.58㎡<br />
* 전시실 - 4실 1301.01㎡ - 중앙홀/제1전시관/제2전시관/홍보관<br />
* 영상실 - 1실 212.61㎡ - 2층(44석)<br />
* 수장고 - 2실 212.61㎡ - 지하층<br />
* 표본처리실 - 50.73㎡ - 지하층<br />
* 운영사무실 - 1실 50.73㎡ - 운영 및 연구실<br />
* 기타 공용면적 - 767.58㎡",,10:00~17:00 (입장 마감 16:30),"매주 월요일, 법정 공휴일 다음날, 1월 1일, 설날과 추석연휴, 근로자의 날, 창립기념일(5월 10일), 임시공휴일",무료,,,가능,무료,없음,없음,없음,"한국어 안내서비스:※ 상시해설<br />
평일 : 수요일~금요일 13:30, 15:00 <br />
주말 : 토요일, 일요일 10:30, 13:30, 15:30
예약안내:10인 이상의 단체가 관람하고자 할 경우 박물관 홈페이지를 
통해 사전 예약<br />
<a href=""https://www.kigam.re.kr/narrationList.es?mid=b50601000000&tnc_seq=1"" target=""_blank"" title=""새창 : 지질박물관 홈페이지로 이동"">http://museum.kigam.re.kr</a>
"
부산세관박물관,48940,,,부산광역시 중구 충장대로 20,35.1048559456,129.0383005496,"부산항과 부산 세관의 역사를 한눈에 볼 수 있는 부산세관박물관은 2001년 11월 부산본부세관 내에 개관한 박물관이다. 부산 세관은 부산항이 개항한 지 5년 후인 1883년에 문을 연 우리나라에서 가장 유서 깊은 세관 중 하나이며, 세관박물관에는 부산 세관과 관련한 자료들을 역사의 장, 이해의 장, 정보의 장Ⅰ·Ⅱ의 4가지 테마로 구성하여 총 217평의 박물관에 1,200여 점의 자료가 전시되어 있으며, 별도의 영상홍보실을 통해 실감 나는 영상홍보물도 볼 수 있다.

제1전시실인 역사의 장에서는 근대 부산의 변천 과정을 한눈에 볼 수 있도록 꾸며져 있고, 개항 당시 부산항 모형, 동래부지도와 부산세관백년사 등이 전시되어 있다. 제2전시실 이해의 장에는 광복 전후 조선관세법규, 1958년 부산항 전경 사진 등을 볼 수 있으며, 제3전시실 정보의 장Ⅰ에는 1960년대 밀수 관련 자료와 해상 밀수 단속 현장 매직 비전 등이 설치되어 있다. 제4전시실 정보의 장Ⅱ에는 호랑이 등 동물박제와 가죽, 마약 제조기·마약 샘플·마약 은닉 모형 등 각종 수출입 금지 품목이 전시되어 있으며, 영상홍보실에서는 세관의 역할과 활동을 담은 영상물을 상영하고 각종 홍보자료도 전시하고 있다.",,716㎡,,10:00~17:00,주말(단체예약인 경우 예외) 및 공휴일,무료,,,가능,무료,없음,불가,없음,"체험프로그램:단체 10명 이상 관람 시 설명
예약안내:휴일 단체예약 051-620-6092로 신청
"
광나루안전체험관,4991,,,서울특별시 광진구 능동로 238(능동),37.5513105664,127.077162465,"광나루안전체험관은 광진구 능동 서울어린이대공원 정문 옆에 있다. 이곳은 화재나 지진, 태풍 등 각종 재난 상황을 가상으로 설정하여 일반 시민들이 직접 체험하면서 안전교육을 받을 수 있는 국내 최초의 재난 체험관이다. 각종 재난·재해로부터 불특정 다수인들에 대하여 재난에 대처할 수 있는 능력을 기르고 안전 의식을 함양할 수 있는 가상 재난 체험 시설의 필요성이 제기되면서 광나루안전체험관이 설립되게 되었다. 

광나루안전체험관은 지하 1층, 지상 3층 연면적 5,444.5㎡ 규모로서 지상 1층은 오리엔테이션 홀, 새싹어린이 안전체험관, 지진 체험관, 태풍 체험관, 선박 체험관을 운영하며, 지상 2층에서는 야외 탈출관, 소화기 체험관, 화재 대피 체험관, 방화셔터 체험관, 응급처치 실습실 등의 안전교육 체험을 할 수 있다. 각종 체험시설을 통하여 운영요원(소방공무원 등)에 의한 설명과 함께 직접 체험할 수 있다. 체험하기 위해서는 온라인 사전예약은 필수이며, 긴바지와 양말을 착용해야 한다. 반바지, 치마, 맨발의 경우 체험이 불가하다.",,"연면적 6,142㎡ (지하1층, 지상3층)",1일 1000명,09:00~17:00,"매주 월요일, 1월 1일, 설·추석 당일",무료,,,불가 (대중교통 이용 또는 어린이대공원 주차장 이용),,없음,불가,없음,"외국인 체험가능 프로그램:지진체험, 풍수해체험, 연기피난체험, 소화기체험, 응급처치 체험 등
체험프로그램:재난체험 / 새싹어린이 / 소방관 진로체험 / 일반응급 / 온택트재난 / 전문응급 등<br>
※ 프로그램별로 운영시간 상이하므로 홈페이지 참조 요망
외국인 예약안내:인터넷 예약
예약안내:인터넷 예약제<br />
※ 현장접수는 당일 운영시간별로 체험관 직접 방문하여 선착순 입장<br />
※ 만 13세 미만의 청소년 예약시 반드시 보호자의 체험등록이 필요
한국어 안내서비스:소방공무원이 인솔

외국어 안내서비스:각 체험장 안내표지판(영어, 중국어, 일어)설치<br />
외국어표기(영어, 중국어)된 리플릿 제공
"
제주돌문화공원,63345,,,제주특별자치도 제주시 조천읍 남조로 2023,33.4513683869,126.6567710025,"돌 문화 공원은 돌의 고장 제주에 있는 돌문화를 종합적이고 체계적으로 보여주는 박물관이자 생태공원이다. 2020년까지 전체공원이 조성되며, 제1단계로 제주 돌 박물관, 제주 돌문화 전시관, 제주의 전통 초가 등의 전시관이 완공되어 공사가 시작된 지 7년 만인 2006년 6월 3일 문을 열었다. 제주의 돌문화를 한곳에서 볼 수 있는 돌 문화공원은 규모가 워낙 커서 여유로운 일정으로 둘러보는 것이 좋다. 돌 문화 공원은 제주만의 독특한 자연유산인 오름 앞에 자리 잡고 있으며, 돌을 쌓아 만들어 놓은 성곽의 형태를 따라 나지막한 오르막길을 올라가면 주변 전망이 시원한 돌 문화공원 입구에 다다르게 된다.

입구를 지나 관람로를 따라가다 보면 설문대할머니와 그 아들인 오백장군 설화로 엮은 각종 돌 조형물들을 만나게 되고, 거석 사이를 통과하여 숲 속 오솔길을 따라가다 보면 박물관과 제주의 전통 초가들을 볼 수 있는데, 특이하게도 박물관은 지상이 아닌 지하에 자리 잡고 있다. 자연환경과 주변 경관을 해치지 않기 위해서 그렇게 지어졌다고 한다. 야외 전시장에는 48기의 돌하르방, 사악한 기운과 액운을 몰아낸다는 방사탑, 도둑이 없어 대문도 없다는 제주의 상징인 정주석, 무덤 주위에 세워 망자의 한을 달래준다는 제주만의 내세관을 보여주는 동자석 등을 볼 수 있다. 제주의 역사와 전통 자연미를 함께 느낄 수 있는 자연과 문화의 쉼터이다.",,"부지면적 969,731㎡(293,858평)",,09:00~18:00 (매표마감 17:00),매주 월요일 / 1월 1일 / 설·추석 당일,"개인 - 어른 5,000원 / 청소년, 군경 3,500원<br />단체 - 어른 4,000원 / 청소년, 군경 2,800원",인터넷 등 온라인 구매시 할인적용,코스별로 각 50분씩 총 2시간 30분 정도 소요,가능 (무료),무료,없음,불가,가능,"예약안내:전화 예약가능 
한국어 안내서비스:* 해설신청 (최소 1일전 사전신청)<br />
* 디지털 가이드(음성안내기) <br />
- 사용료 : 무료
"
충주세계무술박물관,27438,,,충청북도 충주시 남한강로 24(금릉동),36.987849129699995,127.9055702752,"세계무술박물관은 충주 탐금공원(구 세계무술공원) 내에 위치한 박물관이다. 박물관 1층에서는 세계무술과 풍물을 전시하고 있다. 세계 무술을 영상으로 감상할 수 있으며, 여러 무술 단체들이 기증한 민속 공예품과 무기들을 관람할 수 있다. 또한 그동안 열렸던 ‘충주세계무술축제’의 순간을 담은 사진들도 볼 수 있다.
2층은 세계 무술의 기원과 역사에 대해서 관람할 수 있다. 우리나라 무술의 기원과 역사에 대해 자세히 알 수 있다. 고구려 시대부터 이어온 우리나라 전통 무술인 수박과 택견에 대해서도 살펴볼 수 있다. 택견의 계보와 여러 동작을 동영상과 조형물로 함께 관람하며 공부할 수 있다. 
3층에서는 다양한 세계무술을 살펴볼 수 있다. 아시아, 유럽, 아프리카, 아메리카의 무술을 소개하고, 여러 나라의 무기와 관련 자료를 전시하고 있다. 베는 무기, 찌르는 무기, 방어용 무기 등 다양하게 분류하여 소개하고 있다. 우리나라 무술인 택견의 시작과 전수에 대해서 신한승 선생님의 모형물과 함께 관련 기록을 살펴볼 수 있다.",,,,09:00~18:00,매주 월요일 / 1월 1일 / 설날·추석 당일,무료,,,가능,무료,없음,없음,없음,
대전시립박물관,34194,,,대전광역시 유성구 도안대로 398(상대동),36.336846853400004,127.33533950569999,"대전시립박물관은 대전 서남부에 위치한 박물관이다.
이 박물관은 대전 도안신도시 개발에 따라 시민들의 문화공간으로 2012년 10월 16일 개관하였다. 시설은 상설전시실, 기증유물실, 기획전시실, 도시홍보관으로 구성되어 있다. 상설전시실에서는 대전 유학자의 삶과 문화를 주제로 귀중한 대전의 문화재들이 전시되어 있고, 기증유물실에는 대전시민들이 기증한 유물들을 전시하고 있다. 또한, 기획전시실에서는 매년 1~2회 특별전을 개최하여 다채로운 볼거리를 제공하고 있다. 이와 더불어 대전시민들이 배우고 놀 수 있는 공간이 될 수 있도록 다양한 체험프로그램과, 강좌, 공연 등을 다수 개최하고 있다.",,"지하1층, 지상3층<br />
연면적 4996.25㎡ / 대지면적 32129.5㎡ / 건축면적 3624.94㎡",200~300명,"- 동절기(11~2월) 10:00~18:00<br>
- 하절기(3~10월) 10:00~19:00<br>
※ 관람종료시간 30분 전까지 입장가능","매주 월요일, 1월 1일, 명절 당일, 기타 박물관장이 지정한 날 <br />
※ 월요일이 공휴일일 경우 익일 휴관",무료,,약 1시간,가능 (약 소형 80대),무료,가능,불가,불가,"한국어 안내서비스:전문자원봉사자, 박물관 직원의 전시해설 <br />
- 전시해설사 1인당 사전 예약자 30명 내외로 제한<br />
- 30인 이상의 단체관람객 전시해설은 예약 시 안내<br />
- 문의 : 042-270-8606~10
예약안내:단체관람 예약<br />
전화/홈페이지 예약 가능<br />
대관안내:세미나실, 커뮤니티실, 강당 대관 가능 <br />
문의 : 042-270-8607
"
대전근현대사전시관(옛 충남도청사 본관),34863,,,대전광역시 중구 중앙로 101(선화동),36.3267106425,127.4209543468,"대전근현대사전시관은 대전시립박물관에서 운영하는 전시관으로 1932년 건축된 우리나라의 대표적인 근대건축물인 옛 충남도청사 본관 1층에 자리하고 있다. 1930년대 초 건축물 중 보기 드물게 원형이 잘 보존된 근대문화유산을 활용한 근현대사전시관에는 건축물관 관람과 함께 상설전은 물론, 대전 근현대사의 많은 사건들과 역사, 건축, 도시계획, 디자인, 대중문화 등 다양한 분야의 특별전을 둘러볼 수 있다.",,,,"- 하절기(3~10월) 10:00~19:00<br>
- 동절기(11~2월) 10:00~18:00<br>
※ 관람종료시간 30분 전까지 입장가능","매주 월요일 / 1월 1일 / 명절연휴<br>※ 단, 월요일이 공휴일일 경우 박물관 개관 후 익일 휴관",무료,,약 1시간 30분,가능,,가능,불가,없음,"한국어 안내서비스:가능(대전 근현대사전시관 학예연구실 042-270-4536)
"
국립광주과학관,61005,,,광주광역시 북구 첨단과기로 235(오룡동),35.2298976827,126.84987821360001,"국립광주과학관은 정부의 2003년 과학관 육성계획에 따라 추진 설립되었다. 광주 첨단산업단지에 조성된 광주과학관은 빛과 과학과 예술에 특화된 과학관으로서 우주선 모양의 건물 외형에 미래를 향한 꿈과 희망을 담았으며, 체험 중심 전시물들로 주로 구성되어 관람객들이 오감으로 체험하면서 상상력과 창의력을 키우고 미래지향적 사고를 키우고 과학에 대한 이해와 호기심을 충족할 수 있다.",,"부지면적 98,248㎡, 건축연면적 17,325㎡(지상3층, 지하1층) <br />
전시면적 7,209㎡","3,000명 수용 가능",09:30~17:30 (입장마감 16:30),매주 월요일 / 1월 1일 / 명절 당일,"어른(20~64세) - 개인 3,000원 / 단체 2,000원(20인 이상) <br />청소년,어린이(7~19세) - 개인 2,000원 / 단체 1,500원(20인 이상)<br />경로우대자(65세 이상), 6세미만 유아, 국가유공자, 장애인 등 무료<br>※ 자세한 사항은 홈페이지 참조",,약 4시간,가능,"[당일] 일반차량 2,000원 / 대형(25인승 이상) 4,000원<br />
※ 장애인, 국가유공자 무료",없음,불가,가능,"한국어 안내서비스:- 전시해설 가능 <br />
- NFC 전시물 안내서비스 운영
예약안내:홈페이지에서 예약 가능
"
