명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
안동벚꽃축제,36709.0,(재)한국정신문화재단,054-840-3424,경상북도 안동시 축제장길 200 (운흥동),36.5605523512,128.73065888760001,낙동강을 따라 만개한 벚꽃길에서 펼쳐지는 다채로운 문화축제이다.,(재)한국정신문화재단,054-840-3424,,,20240327.0,20240331.0,평일 18:00~22:00 / 주말 12:00~22:00,안동시 탈춤공원 벚꽃길,,무료,,,,,,,,"행사소개:낙동강을 따라 만개한 벚꽃길에서 펼쳐지는 다채로운 문화축제이다.
	

행사내용:1. 메인프로그램 <br>
- 야간 : 밤 꽃놀이 - 야간벚꽃조명쇼<br>
- 전시 : 벚꽃 테마 포토존<br>
- 공연 : 벚꽃 놀이단, 거리 버스킹, 마술 공연<br>
- 체험 : 놀이동산, 반려견존, 인생네컷, 영화상영, 벚꽃뽑기, 벚꽃티셔츠 만들기, 벚꽃퀴즈, #안동_봄여행_추억이_팡팡! 안동 벚꽃축제 행사장 및 안동 벚꽃명소 방문 후 해시태크 인증 시 기프티콘 증정 이벤트!<br><br>
2. 부대프로그램 : 벚꽃놀이단 공연, 버찌운동회, 키즈존, 반려견존, 영화상영 등<br><br>
3. 공연 : 벚꽃놀이단/버스킹/마술 공연<br><br>
4. 전시 : 벚꽃 테마 포토존 거리<br><br>
5. 기타 먹거리 : 식사류, 분식류, 스넥류, 농특산물, 푸드트럭 등<br><br>
6. 영화상영: 3. 29.(금) 19:00<br><br>
7. 버찌운동회: 3.30.(토) ~ 3.31.(일) 14:00~18:00<br><br>
8. 캐리커쳐, 페이스페인팅: 3.31.(일) 14:00~18:00
",,
설 맞이 어울마당,33156.0,국립부여박물관,041-830-8413,충청남도 부여군 부여읍 금성로 5,36.275688198000005,126.9179090801,"우리 민족 최대 명절인 설을 맞이하여박물관에서 가족, 친지들과 함께 즐거운 시간을 보낼 수 있도록 설날 당일을 제외하고는 박물관 모든 전시실을 정상운영할 예정이며, 다채로운 전통문화 체험 프로그램도 마련했다. 2월 9일부터 12일까지(10일 설날 휴관) 3일간 ‘갑진년 설맞이 어울마당’ 행사에서 요즘 어린이들이 경험하기 힘든 제기차기, 투호, 굴렁쇠 등 전통 문화체험 활동을 할 수 있으며 오전 10시부터 오후 5시까지 박물관 전시관 앞마당에서 별도의 신청 없이 참여 가능하다.",국립부여박물관,041-830-8413,,,20240112.0,20240209.0,10:00~17:00,국립부여박물관 내 상설전시관 앞마당,,무료,,,,,,,,"행사소개:우리 민족 최대 명절인 설을 맞이하여박물관에서 가족, 친지들과 함께 즐거운 시간을 보낼 수 있도록 설날 당일을 제외하고는 박물관 모든 전시실을 정상운영할 예정이며, 다채로운 전통문화 체험 프로그램도 마련했다. 2월 9일부터 12일까지(10일 설날 휴관) 3일간 ‘갑진년 설맞이 어울마당’ 행사에서 요즘 어린이들이 경험하기 힘든 제기차기, 투호, 굴렁쇠 등 전통 문화체험 활동을 할 수 있으며 오전 10시부터 오후 5시까지 박물관 전시관 앞마당에서 별도의 신청 없이 참여 가능하다. 	
행사내용:제기차기, 윷놀이, 투호, 굴렁쇠	
",선택안함,선택안함
청룡문화제,2590.0,"동대문문화원, 청룡문화제 보존위원회",02-2241-9300,서울특별시 동대문구 청계천로(용두동),37.5732101344,127.0401652134,"실록에 나와 있는 오방토룡제 중 동방청룡제를 복원하여, 일제 침략기를 거치면서 말살되고 잊혀졌던 소중한 우리 문화유산을 후손에 전하고 우리 역사를 바로 인식할 수 있는 계기를 만들며, 문화국민으로서 자긍심을 고취하고자 매년 개최하는 문화 행사이다.","동대문문화원, 청룡문화제 보존위원회",02-2241-9300,,02-2241-9300,20231028.0,20231028.0,10:00~17:00,용두근린공원,,무료,,,,,,,,"행사소개:실록에 나와 있는 오방토룡제 중 동방청룡제를 복원하여, 일제 침략기를 거치면서 말살되고 잊혀졌던 소중한 우리 문화유산을 후손에 전하고 우리 역사를 바로 인식할 수 있는 계기를 만들며, 문화국민으로서 자긍심을 고취하고자 매년 개최하는 문화 행사이다.	
행사내용:대표프로그램<br>ｏ동방청룡제향 : 오방통료제의 첫번째 제향으로 어가행렬 후 임금의 폐백을 받아 모심<br>ｏ어가행렬 : 약식으로 임금과 일부 신하들의 입취위를 재현<br>ｏ예술단 공연 : 전통과 흥이 있는 지역연고예술단체의 민속 공연을 통해 청룡문화제의 전통성을 부각<br>ｏ부대행사 : 주민들과 각종 단체들의 자발적 참여를 통한 애향심 고착
",선택안함,선택안함
생거진천 농다리축제,27841.0,진천문화원,043-533-2742 / 2744,충청북도 진천군 진천읍 문화로 79,36.850073171,127.43989381120001,"충청북도 지방유형문화재 제28호로 천년을 이어온 동양 최고의 돌다리, 놀랍게도 생김새가 다른 돌이 어우러져 천년의 세월을 이겨낸 농다리를 테마로 개최하는 축제이다. 살아서 농사 짓기 위해 건너고 죽어서는 꽃상여에 실려 건너는 사람과 공존하는 다리, 바로 진천 농다리이다.",진천문화원,043-533-2742 / 2744,농다리축제추진위원회,,20240419.0,20240421.0,09:30~22:00(일자별 차이있음),진천군 문백면 농다리 일원(충북 진천군 문백면 구산동리 128 일원),,무료,,,,,,,,"행사소개:충청북도 지방유형문화재 제28호로 천년을 이어온 동양 최고의 돌다리, 놀랍게도 생김새가 다른 돌이 어우러져 천년의 세월을 이겨낸 농다리를 테마로 개최하는 축제이다. 살아서 농사 짓기 위해 건너고 죽어서는 꽃상여에 실려 건너는 사람과 공존하는 다리, 바로 진천 농다리이다.		

행사내용:1. 4.19.(금) 축제 1일차<br>
  - 농다리고유제<br>
  - 진천어린이합창단<br>
  - 개막식<br>
  - 농다리점등식<br>
  - 참숯낙화놀이<br>
  - 개막축하공연<br><br>

2. 4.20.(토) 축제 2일차<br>
  - 레이크사랑 걷기대회<br>
  - 농다리백일장,사생대회<br>
  - 견지낚시대회<br>
  - 전통줄타기판줄공연<br>
  - 진달래가 들려주는 우리소리<br>
  - 한국의시 클래식과 대중음악을 만나다<br>
  - 맨손메기잡기대회<br>
  - 김종호밴드농다리콘서트<br>
  - 농다리 7080페스티벌<br>
  - 창작그룹 소리창조 예화공연<br>
  - 농다리전국가요제<br><br>

3. 4.21.(일) 축제 3일차<br>
  - 농다리장사씨름대회<br>
  - 상여다리건너기, 농사철다리밟기<br>
  - 창작전통연희극한글먹고얌얌<br>
  - 맨손메기잡기대회<br>
  - 색소폰연주 공연<br>
  - 물수제비체험및날리기대회<br>
  - 농다리에서차차차<br>
  - 사물놀이한마당<br><br>

4. 연계행사<br>
  - 등용문축제<br>
  - 농다리 전국가요제<br>
  - 어린이안전체험교실	

",선택안함,선택안함
태안 세계튤립꽃박람회,32166.0,㈜네이처농업회사법인,0507-1497-5536,충청남도 태안군 안면읍 꽃지해안로 400,36.5012051019,126.3367832048,천혜의 자연경관을 갖춘 충남 태안 코리아플라워파크에서 4월 12일부터 5월 7일까지 제13회 태안 세계튤립꽃꽃박람회가 펼쳐진다.,㈜네이처농업회사법인,0507-1497-5536,,,20240410.0,20240507.0,09:00~18:00,코리아플라워파크,,"성인 : 14,000원<br>경로 및 단체: 12,000원<br>유아 및 청소년 : 11,000원",,1시간 ~ 1시간30분,전 연령,,,,,"행사소개:천혜의 자연경관을 갖춘 충남 태안 코리아플라워파크에서 4월 12일부터 5월 7일까지 제13회 태안 세계튤립꽃꽃박람회가 펼쳐진다.	

행사내용:관람객들의 안전 및 밀접 접촉을 줄이기 위해 진행하지 않습니다.
",선택안함,선택안함
2024 웅진성 수문병 근무 교대식,32538.0,공주시,041-840-8069 / 041-840-3800,충청남도 공주시 금성동,36.4632481267,127.1261159474,"2015년 유네스코 세계문화유산에 등재된 백제역사유적지구 중 공산성을 배경으로 펼쳐지는 ‘웅진성 수문병 근무교대식’은 철저한 역사적 고증 아래 제작된 의상과 소품을 활용하여 당시 왕성을 호위하던 수문병의 근무를 재현한다. 혹서기인 6월 둘째 주부터 8월 말까지 제외하고 4월부터 11월까지 매주 토,일요일에 진행된다.",공주시,041-840-8069 / 041-840-3800,공주시,041-840-8069 / 041-840-3800,20240401.0,20241130.0,11:00 ~ 17:00 매시 정각,공산성 금서루 및 연문광장 일원,,무료(단 공산성 내부 진입 시 입장료 발생 / 공산성 방문자센터 : 041-856-7700),,,전 연령 가능,,,,,"행사소개:2015년 유네스코 세계문화유산에 등재된 백제역사유적지구 중 공산성을 배경으로 펼쳐지는 ‘웅진성 수문병 근무교대식’은 철저한 역사적 고증 아래 제작된 의상과 소품을 활용하여 당시 왕성을 호위하던 수문병의 근무를 재현한다. 혹서기인 6월 둘째 주부터 8월 말까지 제외하고 4월부터 11월까지 매주 토,일요일에 진행된다. 
행사내용:전열정비(5’)
(수문병전열정비)
(교대식입장시작) -> 근무대형이동(5’)
(근무교대, 절도있는 입장 퍼포먼스)<본공연(15’)>
(깃발들고 이동, 음악에 맞춰 1~2줄 번갈아가면서 퍼포먼스 진행)
",선택안함,선택안함
경주 대릉원돌담길 벚꽃축제,38164.0,경주시,054-777-5952~4,경상북도 경주시 계림로 10 (황남동),35.8359687416,129.2157896804,"경주의 아름다운 길, 대릉원 돌담길을 거닐며 봄을 만날 수 있다. 벚꽃과 어울리는 다양한 볼거리, 먹거리, 즐길거리를 관광객에게 선사한다.",경주시,054-777-5952~4,(재)경주문화재단,,20240329.0,20240331.0,13:00 ~ 22:00,경주 대릉원돌담길,,무료,,,,,,,,"행사소개:경주의 아름다운 길, 대릉원 돌담길을 거닐며 봄을 만날 수 있다. 벚꽃과 어울리는 다양한 볼거리, 먹거리, 즐길거리를 관광객에게 선사한다. 
행사내용:1. 공연 프로그램 <br>
(1) 벚꽃거리예술路 / 13:00 ~ 21:00 <br>
 버블, 서커스 등 눈길을 사로잡을 거리예술 공연 <br>
(2) 벚꽃 라이트쇼 / 18:00 ~ 21:00<br> 
벚꽃 경관을 더 돋보이게 만들 야간 라이트쇼 <br><br>

2. 공간 연출 <br>
(1) 벚꽃 휴식시간<br>
인조 잔디 위에서 즐기는 감성 피크닉<br>
(2) 벚꽃 포토존<br>
 아름다운 경관과 트렌드를 함께 담은 이색적인 포토존<br><br>

3. 친환경 프로그램 <br>
(1) 친환경 프로젝트 ""함께해 봄"" / 13:00 ~ 18:00  <br>
경주 청소년들이 직접 기획하고 실행하는 친환경 프로젝트! 친환경 체험에 함께해 보세요<br><br>

4. 상생협력 프로그램<br>
(1) 벚꽃 프리마켓 / 13:00 ~ 22:00 <br>
 경주의 공방들이 직접 만든 수공예품을 만나보는 마켓<br>
(2) 벚꽃 F&B / 13:00 ~ 22:00 <br>
감성적 분위기를 담은 돌담길의 특별한 레스토랑 <br> <br>

5. 참여& 체험 프로그램<br>
(1) 벚꽃 놀이터 / 13:00 ~ 18:00 <br>
 도로 위에서 즐기는 동심 가득 놀이터 <br>
(2) 무료 타투스티커 & 사진 인화 이벤트  / 13:00 ~ 21:00<br>
 타투와 사진으로 남겨보는 벚꽃과의 추억	

",선택안함,선택안함
정읍 벚꽃축제,56164.0,정읍시,063-539-5231,전북특별자치도 정읍시 벚꽃로 401 (시기동),35.5613102375,126.85572209040001,"약 4km 구간에 피는 2,000여 그루의 벚꽃이 정읍천을 화려하게 수놓고, 하얀 벚꽃과 색색의 봄꽃들이 조화를 이룬다. 정읍 벚꽃축제에서 봄날의 설렘을 만끽할 수 있으며, 흩날리는 벚꽃잎을 맞으며 행복한 미소를 짓는 사람들로 가득하다. 다채로운 공연과 간식 먹거리, 색다른 체험들이 준비되어 있다.",정읍시,063-539-5231,,,20240328.0,20240401.0,10:00~22:00,정읍천 어린이축구장 일원,,무료,,,,,,,,"행사소개:약 4km 구간에 피는 2,000여 그루의 벚꽃이 정읍천을 화려하게 수놓고, 하얀 벚꽃과 색색의 봄꽃들이 조화를 이룬다. 정읍 벚꽃축제에서 봄날의 설렘을 만끽할 수 있으며, 흩날리는 벚꽃잎을 맞으며 행복한 미소를 짓는 사람들로 가득하다. 다채로운 공연과 간식 먹거리, 색다른 체험들이 준비되어 있다.

행사내용:1. 메인프로그램 : 개막식 및 축하공연, 벚꽃전야제, 벚꽃재즈, 학생댄스경연대회, 생활문화예술동호회 문화공연, 정읍예술제, 시립국악단 공연<br>
2. 부대프로그램 : 먹거리 부스, 체험 부스, 농특산품 판매 부스<br>
3. 소비자 참여 프로그램 : 모바일 보물찾기, 꽃잎은 버블버블, 꽃잎은 매직매직, 벚꽃네컷, 벚꽃캔버스<br>
4. 기타 내용 : 벚꽃 가랜드길, LED 경관조명, sns 이벤트
",선택안함,선택안함
2024젊은안무자창작공연,3086.0,사단법인 한국무용협회,02-744-8066,서울특별시 종로구 대학로10길 17 동숭동복합건물,37.582150096999996,127.0031961055,"젊은안무자창작공연은 젊은 안무자들에게 자신의 창작역량을 발휘할 수 있는 무대를 제공하며, 그들의 창의적이고 독창적인 예술 활동을 독려하고자 한다. 다양한 창작 활동을 펼칠 수 있는 도전과 안무자의 예술세계 구축을 위한 새로운 공연 제작 시도의 기회를 제공하며, 미래의 유망 안무자를 발굴할 수 있을 것이다. 또한, 신예 안무자 발굴에 그치지 않고 그들이 국내, 나아가 국제적인 안무자로 성장할 수 있도록 구체적인 중장기 로드맵을 세워 젊은 안무자들만의 예술적 산물을 대중들과 함께 공유할 수 있도록 하여 문화예술 향유의 범위를 한층 더 넓혀보고자 한다.",사단법인 한국무용협회,02-744-8066,젊은안무자창작공연 운영위원회,,20240424.0,20240501.0,19:30,대학로예술극장 소극장,,"유료 / 균일석 20,000원",,70분,만7세 이상(초등학생),,,,,"행사소개:젊은안무자창작공연은 젊은 안무자들에게 자신의 창작역량을 발휘할 수 있는 무대를 제공하며, 그들의 창의적이고 독창적인 예술 활동을 독려하고자 한다. 다양한 창작 활동을 펼칠 수 있는 도전과 안무자의 예술세계 구축을 위한 새로운 공연 제작 시도의 기회를 제공하며, 미래의 유망 안무자를 발굴할 수 있을 것이다. 또한, 신예 안무자 발굴에 그치지 않고 그들이 국내, 나아가 국제적인 안무자로 성장할 수 있도록 구체적인 중장기 로드맵을 세워 젊은 안무자들만의 예술적 산물을 대중들과 함께 공유할 수 있도록 하여 문화예술 향유의 범위를 한층 더 넓혀보고자 한다.
출     연:4월 24일 - 윤지후, 송   진, 박세진<br>
4월 26일 - 손무경, 박지현, 김민선<br>
4월 28일 - 박정무, 홍은채, 이진우<br>
5월 01일 - 변수민, 오한별, 박혜리
행사내용:(사)대한무용협회가 주최하고, 젊은안무자창작공연 운영위원회가 주관하는 「2024젊은안무자창작공연」은 지난 1월 11일 오디션을 진행하여 최종 12인의 안무자가 선정되었다. 이후 작품을 보완하고 준비하는 시간을 가지며 4월 24일(수)~5월 1일(수) 대학로예술극장 소극장에서 12인의 젊은 안무자들의 노력을 결실을 선보일 예정이다.
",선택안함,선택안함
네이처파크 플라워페스티벌,42938.0,리조트 스파밸리,1688-8511,대구광역시 달성군 가창면 가창로 891,35.7881605357,128.63533921479998,"네이처파크는 12만평 부지의 식물원 내 초대형 글라스하우스 동물원과 방사형 야외 동물원으로 구성된 네이처파크는 50여종, 300마리 이상의 동물. 350여종의 수목, 100여종 이상의 다양한 꽃들이 공존하는 전국 최초 교감형 생태 동물원 이다.4계절 축제가 다양하게 열리며, 이번 [플라워 페스티벌]축제기간동안 동물탐험대 프로그램을 운영중에 있어 동물들과 좀 더 가까운 교감을 할수 있다.<br>
또한 플라워페스티벌을 맞이 하여 이벤트 기간 내 네이처파크 내부에서  비눗방울과 함께하는 버블쇼 및 도그쇼를 준비했다. 바이올린니스트 탁보늬를 초청하여 4월 주말에는 네이처파크에서 음악회를 관람할 수 있는 기회를 제공하고 있다. 플라워페스티벌 기간 내 가족이 함께 참여할 수 있는 투표이벤트를 즐길 수 있다.",리조트 스파밸리,1688-8511,네이처파크,,20240330.0,20240609.0,10:00~18:00,네이처파크,,"유료<br> (정상가 성인1인 20,000원/소인1인 18,000원/24개월미만 무료)",,,,,,,,"행사소개:네이처파크는 12만평 부지의 식물원 내 초대형 글라스하우스 동물원과 방사형 야외 동물원으로 구성된 네이처파크는 50여종, 300마리 이상의 동물. 350여종의 수목, 100여종 이상의 다양한 꽃들이 공존하는 전국 최초 교감형 생태 동물원 이다.4계절 축제가 다양하게 열리며, 이번 [플라워 페스티벌]축제기간동안 동물탐험대 프로그램을 운영중에 있어 동물들과 좀 더 가까운 교감을 할수 있다.<br>
또한 플라워페스티벌을 맞이 하여 이벤트 기간 내 네이처파크 내부에서  비눗방울과 함께하는 버블쇼 및 도그쇼를 준비했다. 바이올린니스트 탁보늬를 초청하여 4월 주말에는 네이처파크에서 음악회를 관람할 수 있는 기회를 제공하고 있다. 플라워페스티벌 기간 내 가족이 함께 참여할 수 있는 투표이벤트를 즐길 수 있다.
행사내용:1. 메인프로그램 : 동물 탐험대 (동물 행동 풍부화 프로그램으로써 동물들이 더욱 행복할 수있게 해주는 프로그램)<br>
2. 부대프로그램 : 주말 공연(4월 주말, 5월4일,5월5일)<br>
3. 소비자 참여 프로그램 : 4월 투표 이벤트<br>
4. 기타 내용 : sns인증샷 이벤트 프로그램<br><br>

*자세한 사항은 네이처파크 홈페이지 및 네이처파크 인스타그램 참조<br>
*일부행사는 현장상황에따라 변경 및 취소 될수 있다.
",선택안함,선택안함
