name,address,latitude,longitude,details,phone,time,offdate,parking,babycar,pet
동문재래시장,제주특별자치도 제주시 관덕로14길 20,33.51156242,126.5260588,"동문재래시장은 오랜 역사를  지닌 전통 재래시장으로 제주도를 대표하는 시장 중 하나이다. 동문재래수산시장과  더불어 제주도에서 가장 중요하면서 대규모의 상설 재래시장을 구성하고 있다. 1945년  8월 광복 직후 형성된 것이 시초인데, 이 시장은 당시 제주도의 유일한 상설시장으로  제주도 전체 상업 활동의 근거지가 되었다. 1954년 3월에 발생한 대형 화재로 시장  전체가 잿더미로 변하자 같은 해 11월 현재의 장소로 이전했다. 주요 취급 품목은  야채, 과일, 수산물, 약초, 곡물, 의류 등이 있다. 제주도의 대표 재래시장인 만큼 신선한 해산물이 인기다. 갈치회를 비롯한 다양한 모듬회를 저렴한 값에 구매할 수 있으며, 전복내장밥(게우밥) 삼합이나 통전복이 들어간 떡갈비 등 퓨전음식이 주목받고 있다.",064-752-3001,08:00~21:00,연중무휴 (점포마다 상이),가능,없음,없음
"유성장(4, 9일)",대전광역시 유성구 유성대로730번길 24(장대동),36.35801943,127.3354889,"유성장은 대전광역시 유성구 장대동에서 5일마다 열리는 정기 재래시장이다. 이곳에서는 매월 4일과 9일, 14일, 19일, 24일, 29일에 유성장이 열린다. 전통 5일장인 유성 5일장은 1916년 10월 15일 최초 개장된 이래 장대동 191번지 장옥을 중심으로 매 4일, 9일 성시를 이루는 전통 풍물장으로서, 지금은 대전뿐만 아니라 인근의 공주, 연기, 논산, 금산, 옥천 등 인근 시, 군에서 생산되는 농산물과 여러 고객들이 만나는 직거래장터로 각광받고 있다. 약 1,980㎢의 부지에 점포 40여 개가 있고, 그 외에도 공터와 골목에까지 장이 들어선다. 유성장에서는 장대동사무소 뒤편의 장터 입구에서 가축류가 거래되고, 그 안쪽으로 어류·채소류·의류·식기류 순으로 좌판이 벌어진다. 유성의 특산물로는 학하 고구마, 세동 상추 등이 있다. 특히 유성의 배는 전국에서도 맛이 좋기로 유명하다.",042-822-2472,업체별로 상이,연중무휴,가능,없음,없음
울산 중앙시장,울산광역시 중구 번영로 329(옥교동),35.55545515,129.3232716,"1922년 옥교(玉橋) 시장으로 잉태한 이래, 80년이 넘게, 한자리에서 여러 가지 애환을 함께 해 온 울산 중앙시장은 오로지 고객의 만족을 위해 심혈을 기울여 오고 있다. 세계적인 경기 불황 속에서도 혼수 업체 및 커튼, 그릇, 제기, 의류 등을 책임지고 있는 시장이다. 전국에서 가장 긴 아케이드 시설을 가진 울산 중앙시장은 월요일을 제외하고 저녁 7시부터 자정까지 야시장이 열린다. 약 30여 가지의 먹거리가 있으며 패밀리 레스토랑 출신 셰프, 요리학원 선생님, 장래의 셰프 등이 요리한다.",052-241-5000,점포별 상이,매월 둘째/넷째 월요일 휴무,가능,불가,불가
광주 대인시장 (대인예술시장),광주광역시 동구 제봉로184번길 9-10,35.15409349,126.916752,"광주의 전통시장의 변화는 바로 매주 토요일 저녁 발 디딜 틈 없이 붐비는 대인시장의 성공적인 변화에서부터 시작되었다. 충장로와 금남로가 번화가로서 중심을 이루고 있는 광주의 상업구도에서 대인시장은 유일하게 시내에 자리 잡고 있어 그 인기와 효용가치는 매우 컸다. 

어물과 채소류 도매시장으로, 생선과 건어물은 물론 수산물 거래량이 많고, 더불어 양품점과 포목 비단점, 양은그릇과 미곡상이 있어 과거부터 시민들은 시내에 볼일을 보고 나서 함께 대인시장을 들려 장을 보았다. 대인시장도 1990년대 중반 이후 침체기를 겪었다. 대형마트의 등장과 비위생적이고 도태되어 보이는 전통시장의 모습은 사람들의 발길이 뜸하게 만든 원인들이었고, 악성적자를 이유로 하나 둘 점포들이 비기 시작했다. 하지만 2008년 광주비엔날레의 ‘복덕방프로젝트’로 비어 있던 점포에 예술 작품이 전시되고, 그를 기화로 ‘예술이 동거하는 시장’으로써 대인시장은 거듭나기 시작했다. 연이은 호재로 대인시장이 2013년 문화관광형 시장으로 선정되면서 대인시장에 있어 예술은 떼려야 뗄 수 없는 관계가 되었다. 현재 광주 대인시장은 예술가와 상인들이 함께 거주하는 공간이 되었다. ‘문화체육관광부 아시아문화예술 활성화 거점프로젝트’의 일환으로 2028년까지 토요예술야시장 연장이 확정되었다.",대인시장 062-233-3001,08:00~20:00 (점포별 상이),,가능(유료),불가,가능
오정농수산물도매시장,대전광역시 대덕구 한밭대로 987(오정동),36.35784571,127.4064659,"오정동농수산물도매시장은 여느 시장보다 저렴한 가격에 먹거리를 구입할 수 있다. 또 이곳은 중부권 교통의 요충지에 자리하고 있으며, 교통이 편리한 시내 중심권에 위치하여 도매상과 소매상으로의 공급이 원활하다는 특징이 있다. 과실류, 채소류, 산나물류, 목과류, 버섯류, 서류, 유지작물류, 두류 및 잡곡 등의 청과부류와 활·선어류, 패류, 건어류, 염건어류, 염장어류, 해조류 및 젓갈류 등의 수산부류, 그리고 깐채소류, 삶은 채소, 말린 채소, 포장김, 오징어채, 포장미역, 명태 등의 단순가공품 등을 다양하게 구입할 수 있다.",042-622-3387,청과류 00:00~18:00<br>수산류 04:00~18:00,매주 일요일 / 1월 1일 / 명절 연휴,가능(974대)<br>요금(최초 30분 무료 / 2시간 이용시 500원),없음,없음
"정선5일장 / 정선 아리랑시장 (2, 7일)",강원특별자치도 정선군 정선읍 5일장길 36(정선읍),37.38054039,128.664535,"정선5일장은 우리나라를 대표하는 재래시장이다. 끝자리가 2, 7일인 날에 열리는데 지역 주민은 물론 전국 각지에서 찾아온 여행자들로 가득 찬다. 하지만 그 출발은 복작복작한 시골 오일장이었다. 지역 주민이 산나물과 농산물, 생필품 거래가 주를 이뤘다. 정선의 석탄 산업이 번성하며 한창 붐비다가 석탄 산업의 쇠퇴와 함께 한동안 침체기를 겪었다. 그러다 지난 1999년 정선오일장 관광열차(현 정선아리랑열차 A-Train)와 함께 부활했다. 정감 넘치는 시골 장터로 떠나는 기차 여행이 여행자의 감성을 자극했다. 정선아리랑의 고장이라는 사실 또한 한몫했다. 다채로운 공연과 이벤트 또한 시장의 흥을 더했다. 특히 정선만의 지역 먹을거리가 매혹했다. 쌉싸래한 향이 입맛을 돋우는 곤드레밥, 쫄깃한 식감을 자랑하는 수수부꾸미, 후루룩 콧등을 칠 정도로 소리 내며 먹어야 맛있는 콧등 치기 등 하나하나 열거하면 끝이 없다. 덕분에 미식 웰니스의 진수를 제대로 경험할 수 있다. 봄날의 곰취나 참나물, 여름 찰옥수수, 가을 머루 등 계절 특산물이 가득해, 농산물 쇼핑에도 제격이다. 오일장이나 주말장(토요일)에 맞춰 찾으면 좀 더 진한 시장 풍경을 느낄 수 있다. 하지만, 상설장인 정선아리랑시장이 있어 언제 찾아도 정선 재래시장의 정감이 넘쳐난다. 동문 쪽에 위한 청년시장 청아랑몰도 들러볼 만하다.",033-563-6200,09:00~18:00 (점포별 상이),연중무휴,가능,불가,가능
청계5가 가방도매상가 / 청오가방상가,서울특별시 종로구 청계천로 229,37.57013482,127.0029909,"청오가방상가로 불리는 이곳은 행정구역상 종로 5가에 속하며 주변 가방상가와 함께 청계천 가방상가로 통칭한다. 1960년대부터 종로 5가와 청계천 주변에 들어서기 시작하여 번성했던 상가들이 청오빌딩으로 이전해 오면서 1, 2층 매장에는 의류상가가 지하층과 3, 4층은 가방 부속품 도매 상가가 입점했다. 청오가방상가는 자체 공장에서 제작한 고유모델의 가방을 전국의 소매상에게 도매할 뿐만 아니라 일부 점포들은 백화점에 가방을 납품하기도 한다. 여러 가방을 함께 팔기도 하지만, 핸드백, 서류 가방, 여행 가방, 학생 가방 등 한두 가지 품목 위주로 파는 전문점이 많다. 유치원 가방, 학원 가방 전문점뿐만 아니라, 천으로 만든 도시락 가방 등 소품 전문점도 있다.",02-2148-1114,06:00~18:00,일요일,있음<br>요금 (유료),없음,없음
사직번개시장 (삼척 번개시장),강원특별자치도 삼척시 중앙로 10-1,37.43067512,129.1785541,"삼척시 사직동 삼척역 앞에 아침 일찍 번개처럼 문을 열었다 닫는다 하여 일명 ‘번개시장’이라고 부른다. 이곳에서는 정라항 및 인근 부두에서 갓 잡아 온 싱싱한 활어회나 생선 등을 저렴한 가격으로 구입 할 수 있으며, 시골에서 생산된 무공해 채소 등도 값싸게 구입 할 수 있다. 관광객들에게도 많이 알려진 곳으로 아침 일찍부터 문전성시를 이룬다.",지역경제과 033-570-3354,00:05~연중운영,,가능<br>요금(무료),없음,없음
강릉 중앙시장,강원특별자치도 강릉시 금성로 21(성남동),37.75405178,128.8986609,"강릉시 성남동 일대에 위치한 중앙시장은 1980년 1월 18일부로 등록개설된 강릉시내 전통시장으로서 동쪽으로 동부시장, 서쪽으로 서부시장 다음으로 세 번째 개장되어 핵심 유통시장 기능을 100% 발휘하며 성업 중에 있다. 시장의 구성은 중앙시장 주변으로 개별 상가 점포들로 구성도니 성남시장이 있으며 주변에는 축협, 농협마트, 새마을금고 등이 밀집해 있고, 노점상들이 골목길, 도로변에 형성되어 사계절 지역특산물이 거래되는 등 유통기능이 활성화되어 있다. 중앙시장의 주요 고유특성은 지역 향토성을 띄고 특산물의 거래가 활발하며 강릉 도심 내 인구는 물론 동해안 농어촌지역 인구도 중앙시장을 많이 찾고 있다. 그리고 1년에 한 번 강릉 단오제 행사가 중앙시장 주변 남대천 일대 단오장에서 약 1주일 정도  거행될 경우 전국에서 각종 품목이 모여드는 영동중심의 전통 재래시장이다.",033-648-2285,,,가능,없음,없음
"말바우장 / 말바우시장 (2, 4, 7, 9일)",광주광역시 북구 동문대로85번길 62(우산동),35.17293864,126.9203151,"광주 북구의 대표적 전통시장인 말바우시장은 말 발자국 모양의 바위(말바우)가 있었다고 하여 이름 붙여진 시장이다.  50년 넘는 전통을 자랑하는 말바우시장은 조선 중기 무등산을 배경으로 활약했던 의병 김덕령 장군이 활을 쏜 다음 말을 타고 화살보다 빠르게 달렸는데 그때 말의 발자국이 바위에 찍혔다고 한다. 현재 그 말바위는 없어지고 건물들이 들어섰는데 그 건물 사이 골목을 중심으로 장터가 형성되었다. 2005년 광주시 북구청으로부터 인정시장으로 등록되어 담양, 장성, 곡성, 순창 등에서 찾아올 정도로 전통과 명성이 깊은 시장이다. 장날은 2, 4, 7, 9 날이다.",062-262-4082,07:00~19:00,,가능,없음,없음
